"exp","subject","contest","weight","contestant","strength","min_incentive","select","incentive","total"
"exp3",47,2,7,"B",5,20,1,13,33
"exp3",47,2,7,"C",2,2,0,0,33
"exp3",47,3,6,"A",9,40,0,0,28
"exp3",47,3,6,"B",5,20,1,22,28
"exp3",47,3,6,"C",2,2,1,6,28
"exp3",48,1,10,"A",9,40,1,43,50
"exp3",48,1,10,"B",5,20,0,0,50
"exp3",48,1,10,"C",2,2,1,7,50
"exp3",48,2,7,"A",9,40,0,0,28
"exp3",48,2,7,"B",5,20,1,25,28
"exp3",48,2,7,"C",2,2,1,3,28
"exp3",48,3,6,"A",9,40,0,0,28
"exp3",48,3,6,"B",5,20,1,25,28
"exp3",48,3,6,"C",2,2,1,3,28
"exp3",49,1,10,"A",9,40,1,40,42
"exp3",49,1,10,"B",5,20,0,0,42
"exp3",49,1,10,"C",2,2,1,2,42
"exp3",49,2,7,"A",9,40,0,0,22
"exp3",49,2,7,"B",5,20,1,20,22
"exp3",49,2,7,"C",2,2,1,2,22
"exp3",49,3,6,"A",9,40,0,0,22
"exp3",49,3,6,"B",5,20,1,20,22
"exp3",49,3,6,"C",2,2,1,2,22
"exp3",50,1,10,"A",9,40,1,40,42
"exp3",50,1,10,"B",5,20,0,0,42
"exp3",50,1,10,"C",2,2,1,2,42
"exp3",50,2,7,"A",9,40,0,0,17
"exp3",50,2,7,"B",5,20,1,15,17
"exp3",50,2,7,"C",2,2,1,2,17
"exp3",50,3,6,"A",9,40,0,0,21
"exp3",50,3,6,"B",5,20,1,19,21
"exp3",50,3,6,"C",2,2,1,2,21
"exp3",51,1,10,"A",9,40,1,40,42
"exp3",51,1,10,"B",5,20,0,0,42
"exp3",51,1,10,"C",2,2,1,2,42
"exp3",51,2,7,"A",9,40,0,0,21
"exp3",51,2,7,"B",5,20,1,20,21
"exp3",51,2,7,"C",2,2,1,1,21
"exp3",51,3,6,"A",9,40,1,35,37
"exp3",51,3,6,"B",5,20,0,0,37
"exp3",51,3,6,"C",2,2,1,2,37
"exp3",52,1,10,"A",9,40,1,25,40
"exp3",52,1,10,"B",5,20,1,15,40
"exp3",52,1,10,"C",2,2,0,0,40
"exp3",52,2,7,"A",9,40,1,30,50
"exp3",52,2,7,"B",5,20,1,20,50
"exp3",52,2,7,"C",2,2,0,0,50
"exp3",52,3,6,"A",9,40,0,0,30
"exp3",52,3,6,"B",5,20,1,20,30
"exp3",52,3,6,"C",2,2,1,10,30
"exp3",53,1,10,"A",9,40,1,47,50
"exp3",53,1,10,"B",5,20,0,0,50
"exp3",53,1,10,"C",2,2,1,3,50
"exp3",53,2,7,"A",9,40,0,0,31
"exp3",53,2,7,"B",5,20,1,27,31
"exp3",53,2,7,"C",2,2,1,4,31
"exp3",53,3,6,"A",9,40,0,0,27
"exp3",53,3,6,"B",5,20,1,24,27
"exp3",53,3,6,"C",2,2,1,3,27
"exp3",54,1,10,"A",9,40,0,0,29
"exp3",54,1,10,"B",5,20,1,21,29
"exp3",54,1,10,"C",2,2,1,8,29
"exp3",54,2,7,"A",9,40,0,0,35
"exp3",54,2,7,"B",5,20,1,25,35
"exp3",54,2,7,"C",2,2,1,10,35
"exp3",54,3,6,"A",9,40,0,0,33
"exp3",54,3,6,"B",5,20,1,23,33
"exp3",54,3,6,"C",2,2,1,10,33
"exp3",55,1,10,"A",9,40,1,40,42
"exp3",55,1,10,"B",5,20,0,0,42
"exp3",55,1,10,"C",2,2,1,2,42
"exp3",55,2,7,"A",9,40,0,0,22
"exp3",55,2,7,"B",5,20,1,20,22
"exp3",55,2,7,"C",2,2,1,2,22
"exp3",55,3,6,"A",9,40,0,0,17
"exp3",55,3,6,"B",5,20,1,15,17
"exp3",55,3,6,"C",2,2,1,2,17
"exp3",56,1,10,"A",9,40,1,40,50
"exp3",56,1,10,"B",5,20,1,10,50
"exp3",56,1,10,"C",2,2,0,0,50
"exp3",56,2,7,"A",9,40,1,30,50
"exp3",56,2,7,"B",5,20,1,20,50
"exp3",56,2,7,"C",2,2,0,0,50
"exp3",56,3,6,"A",9,40,1,30,50
"exp3",56,3,6,"B",5,20,1,20,50
"exp3",56,3,6,"C",2,2,0,0,50
"exp3",57,1,10,"A",9,40,1,40,50
"exp3",57,1,10,"B",5,20,0,0,50
"exp3",57,1,10,"C",2,2,1,10,50
"exp3",57,2,7,"A",9,40,0,0,40
"exp3",57,2,7,"B",5,20,1,30,40
"exp3",57,2,7,"C",2,2,1,10,40
"exp3",57,3,6,"A",9,40,0,0,33
"exp3",57,3,6,"B",5,20,1,25,33
"exp3",57,3,6,"C",2,2,1,8,33
"exp3",58,1,10,"A",9,40,1,30,40
"exp3",58,1,10,"B",5,20,1,10,40
"exp3",58,1,10,"C",2,2,0,0,40
"exp3",58,2,7,"A",9,40,1,30,40
"exp3",58,2,7,"B",5,20,1,10,40
"exp3",58,2,7,"C",2,2,0,0,40
"exp3",58,3,6,"A",9,40,1,30,40
"exp3",58,3,6,"B",5,20,1,10,40
"exp3",58,3,6,"C",2,2,0,0,40
"exp3",59,1,10,"A",9,40,1,25,45
"exp3",59,1,10,"B",5,20,1,20,45
"exp3",59,1,10,"C",2,2,0,0,45
"exp3",59,2,7,"A",9,40,0,0,22
"exp3",59,2,7,"B",5,20,1,20,22
"exp3",59,2,7,"C",2,2,1,2,22
"exp3",59,3,6,"A",9,40,0,0,19
"exp3",59,3,6,"B",5,20,1,17,19
"exp3",59,3,6,"C",2,2,1,2,19
"exp3",60,1,10,"A",9,40,0,0,50
"exp3",60,1,10,"B",5,20,1,40,50
"exp3",60,1,10,"C",2,2,1,10,50
"exp3",60,2,7,"A",9,40,1,40,50
"exp3",60,2,7,"B",5,20,1,10,50
"exp3",60,2,7,"C",2,2,0,0,50
"exp3",60,3,6,"A",9,40,0,0,24
"exp3",60,3,6,"B",5,20,1,22,24
"exp3",60,3,6,"C",2,2,1,2,24
"exp3",61,1,10,"A",9,40,1,35,37
"exp3",61,1,10,"B",5,20,0,0,37
"exp3",61,1,10,"C",2,2,1,2,37
"exp3",61,2,7,"A",9,40,1,35,37
"exp3",61,2,7,"B",5,20,0,0,37
"exp3",61,2,7,"C",2,2,1,2,37
"exp3",61,3,6,"A",9,40,0,0,22
"exp3",61,3,6,"B",5,20,1,20,22
