"exp","subject","contest","weight","contestant","select","incentive","total","min_incentive","strength"
"Exp3",53,1,10,"A",1,47,50,40,9
"Exp3",53,1,10,"B",0,0,50,20,5
"Exp3",53,1,10,"C",1,3,50,2,2
"Exp3",53,2,7,"A",0,0,31,40,9
"Exp3",53,2,7,"B",1,27,31,20,5
"Exp3",53,2,7,"C",1,4,31,2,2
"Exp3",53,3,6,"A",0,0,27,40,9
"Exp3",53,3,6,"B",1,24,27,20,5
"Exp3",53,3,6,"C",1,3,27,2,2
"Exp3",54,1,10,"A",0,0,29,40,9
"Exp3",54,1,10,"B",1,21,29,20,5
"Exp3",54,1,10,"C",1,8,29,2,2
"Exp3",54,2,7,"A",0,0,35,40,9
"Exp3",54,2,7,"B",1,25,35,20,5
"Exp3",54,2,7,"C",1,10,35,2,2
"Exp3",54,3,6,"A",0,0,33,40,9
"Exp3",54,3,6,"B",1,23,33,20,5
"Exp3",54,3,6,"C",1,10,33,2,2
"Exp3",55,1,10,"A",1,40,42,40,9
"Exp3",55,1,10,"B",0,0,42,20,5
"Exp3",55,1,10,"C",1,2,42,2,2
"Exp3",55,2,7,"A",0,0,22,40,9
"Exp3",55,2,7,"B",1,20,22,20,5
"Exp3",55,2,7,"C",1,2,22,2,2
"Exp3",55,3,6,"A",0,0,17,40,9
"Exp3",55,3,6,"B",1,15,17,20,5
"Exp3",55,3,6,"C",1,2,17,2,2
"Exp3",56,1,10,"A",1,40,50,40,9
"Exp3",56,1,10,"B",1,10,50,20,5
"Exp3",56,1,10,"C",0,0,50,2,2
"Exp3",56,2,7,"A",1,30,50,40,9
"Exp3",56,2,7,"B",1,20,50,20,5
"Exp3",56,2,7,"C",0,0,50,2,2
"Exp3",56,3,6,"A",1,30,50,40,9
"Exp3",56,3,6,"B",1,20,50,20,5
"Exp3",56,3,6,"C",0,0,50,2,2
"Exp3",57,1,10,"A",1,40,50,40,9
"Exp3",57,1,10,"B",0,0,50,20,5
"Exp3",57,1,10,"C",1,10,50,2,2
"Exp3",57,2,7,"A",0,0,40,40,9
"Exp3",57,2,7,"B",1,30,40,20,5
"Exp3",57,2,7,"C",1,10,40,2,2
"Exp3",57,3,6,"A",0,0,33,40,9
"Exp3",57,3,6,"B",1,25,33,20,5
"Exp3",57,3,6,"C",1,8,33,2,2
"Exp3",58,1,10,"A",1,30,40,40,9
"Exp3",58,1,10,"B",1,10,40,20,5
"Exp3",58,1,10,"C",0,0,40,2,2
"Exp3",58,2,7,"A",1,30,40,40,9
"Exp3",58,2,7,"B",1,10,40,20,5
"Exp3",58,2,7,"C",0,0,40,2,2
"Exp3",58,3,6,"A",1,30,40,40,9
"Exp3",58,3,6,"B",1,10,40,20,5
"Exp3",58,3,6,"C",0,0,40,2,2
"Exp3",59,1,10,"A",1,25,45,40,9
"Exp3",59,1,10,"B",1,20,45,20,5
"Exp3",59,1,10,"C",0,0,45,2,2
"Exp3",59,2,7,"A",0,0,22,40,9
"Exp3",59,2,7,"B",1,20,22,20,5
"Exp3",59,2,7,"C",1,2,22,2,2
"Exp3",59,3,6,"A",0,0,19,40,9
"Exp3",59,3,6,"B",1,17,19,20,5
"Exp3",59,3,6,"C",1,2,19,2,2
"Exp3",60,1,10,"A",0,0,50,40,9
"Exp3",60,1,10,"B",1,40,50,20,5
"Exp3",60,1,10,"C",1,10,50,2,2
"Exp3",60,2,7,"A",1,40,50,40,9
"Exp3",60,2,7,"B",1,10,50,20,5
"Exp3",60,2,7,"C",0,0,50,2,2
"Exp3",60,3,6,"A",0,0,24,40,9
"Exp3",60,3,6,"B",1,22,24,20,5
"Exp3",60,3,6,"C",1,2,24,2,2
"Exp3",61,1,10,"A",1,35,37,40,9
"Exp3",61,1,10,"B",0,0,37,20,5
"Exp3",61,1,10,"C",1,2,37,2,2
"Exp3",61,2,7,"A",1,35,37,40,9
"Exp3",61,2,7,"B",0,0,37,20,5
"Exp3",61,2,7,"C",1,2,37,2,2
"Exp3",61,3,6,"A",0,0,22,40,9
"Exp3",61,3,6,"B",1,20,22,20,5
"Exp3",61,3,6,"C",1,2,22,2,2
"Exp3",62,1,10,"A",1,30,40,40,9
"Exp3",62,1,10,"B",0,0,40,20,5
"Exp3",62,1,10,"C",1,10,40,2,2
"Exp3",62,2,7,"A",1,25,35,40,9
"Exp3",62,2,7,"B",0,0,35,20,5
"Exp3",62,2,7,"C",1,10,35,2,2
