"exp","subject","scenario","round","agent","reward","outcome","effort","strength","prob"
"exp1",4,"F,F;F,L",1,2,10,0,NA,5,NA
"exp1",4,"F,F;F,L",2,1,20,0,NA,4,6
"exp1",4,"F,F;F,L",2,2,20,1,80,6,6
"exp1",4,"F,F;F,L",3,1,20,0,NA,1,100
"exp1",4,"F,F;F,L",3,2,20,0,NA,6,100
"exp1",4,"F,L;L,L",1,1,10,0,NA,4,NA
"exp1",4,"F,L;L,L",1,2,10,1,90,6,NA
"exp1",4,"F,L;L,L",2,1,20,1,95,6,60
"exp1",4,"F,L;L,L",2,2,20,1,90,6,100
"exp1",4,"F,L;L,L",3,1,20,1,45,6,100
"exp1",4,"F,L;L,L",3,2,20,1,55,7,100
"exp1",4,"F,F;L,L",1,1,10,0,NA,4,NA
"exp1",4,"F,F;L,L",1,2,10,0,NA,4,NA
"exp1",4,"F,F;L,L",2,1,20,1,80,7,70
"exp1",4,"F,F;L,L",2,2,20,1,80,7,70
"exp1",4,"F,F;L,L",3,1,20,1,30,7,100
"exp1",4,"F,F;L,L",3,2,20,1,30,7,100
"exp1",4,"F,L;F,L",1,1,10,0,NA,4,NA
"exp1",4,"F,L;F,L",1,2,10,1,80,7,NA
"exp1",4,"F,L;F,L",2,1,20,0,NA,3,60
"exp1",4,"F,L;F,L",2,2,20,1,80,7,100
"exp1",4,"F,L;F,L",3,1,20,1,60,4,75
"exp1",4,"F,L;F,L",3,2,20,1,40,7,75
"exp1",5,"F,L;F,L",1,1,10,0,NA,1,NA
"exp1",5,"F,L;F,L",1,2,10,1,50,10,NA
"exp1",5,"F,L;F,L",2,1,20,0,NA,1,10
"exp1",5,"F,L;F,L",2,2,20,1,50,10,90
"exp1",5,"F,L;F,L",3,1,20,1,100,1,90
"exp1",5,"F,L;F,L",3,2,20,1,50,10,90
"exp1",5,"F,L;L,L",1,1,10,0,NA,1,NA
"exp1",5,"F,L;L,L",1,2,10,1,50,10,NA
"exp1",5,"F,L;L,L",2,1,20,1,80,6,10
"exp1",5,"F,L;L,L",2,2,20,1,50,9,90
"exp1",5,"F,L;L,L",3,1,20,1,75,6,100
"exp1",5,"F,L;L,L",3,2,20,1,50,9,100
"exp1",5,"F,F;F,L",1,1,10,0,NA,2,NA
"exp1",5,"F,F;F,L",1,2,10,0,NA,2,NA
"exp1",5,"F,F;F,L",2,1,20,0,NA,1,20
"exp1",5,"F,F;F,L",2,2,20,1,75,6,20
"exp1",5,"F,F;F,L",3,1,20,0,NA,1,100
"exp1",5,"F,F;F,L",3,2,20,0,NA,6,100
"exp1",5,"F,F;F,F",1,1,10,0,NA,1,NA
"exp1",5,"F,F;F,F",1,2,10,0,NA,1,NA
"exp1",5,"F,F;F,F",2,1,20,0,NA,1,20
"exp1",5,"F,F;F,F",2,2,20,0,NA,1,20
"exp1",5,"F,F;F,F",3,1,20,0,NA,1,0
"exp1",5,"F,F;F,F",3,2,20,0,NA,1,0
"exp1",5,"L,L;L,L",1,1,10,1,50,8,NA
"exp1",5,"L,L;L,L",1,2,10,1,50,8,NA
"exp1",5,"L,L;L,L",2,1,20,1,50,8,75
"exp1",5,"L,L;L,L",2,2,20,1,50,8,75
"exp1",5,"L,L;L,L",3,1,20,1,50,8,100
"exp1",5,"L,L;L,L",3,2,20,1,50,8,100
"exp1",5,"F,F;L,L",1,1,10,0,NA,1,NA
"exp1",5,"F,F;L,L",1,2,10,0,NA,1,NA
"exp1",5,"F,F;L,L",2,1,20,1,100,5,50
"exp1",5,"F,F;L,L",2,2,20,1,100,5,50
"exp1",5,"F,F;L,L",3,1,20,1,100,5,100
"exp1",5,"F,F;L,L",3,2,20,1,100,5,100
"exp1",6,"F,L;F,L",1,1,10,0,NA,2,NA
"exp1",6,"F,L;F,L",1,2,10,1,5,9,NA
"exp1",6,"F,L;F,L",2,1,20,0,NA,4,50
"exp1",6,"F,L;F,L",2,2,20,1,50,10,90
"exp1",6,"F,L;F,L",3,1,20,1,60,3,100
"exp1",6,"F,L;F,L",3,2,20,1,100,10,100
"exp1",6,"F,F;L,L",1,1,10,0,NA,5,NA
"exp1",6,"F,F;L,L",1,2,10,0,NA,5,NA
"exp1",6,"F,F;L,L",2,1,20,1,70,8,50
"exp1",6,"F,F;L,L",2,2,20,1,80,8,50
"exp1",6,"F,F;L,L",3,1,20,1,50,6,100
"exp1",6,"F,F;L,L",3,2,20,1,50,6,100
"exp1",6,"F,L;L,L",1,1,10,0,NA,3,NA
"exp1",6,"F,L;L,L",1,2,10,1,50,8,NA
"exp1",6,"F,L;L,L",2,1,20,1,100,5,40
"exp1",6,"F,L;L,L",2,2,20,1,50,8,80
"exp1",6,"F,L;L,L",3,1,20,1,70,5,100
"exp1",6,"F,L;L,L",3,2,20,1,50,8,100
"exp1",6,"F,F;F,F",1,1,10,0,NA,3,NA
"exp1",6,"F,F;F,F",1,2,10,0,NA,3,NA
"exp1",6,"F,F;F,F",2,1,20,0,NA,2,50
"exp1",6,"F,F;F,F",2,2,20,0,NA,2,50
"exp1",6,"F,F;F,F",3,1,20,0,NA,1,60
"exp1",6,"F,F;F,F",3,2,20,0,NA,1,60
"exp1",6,"F,F;F,L",1,1,10,0,NA,3,NA
"exp1",6,"F,F;F,L",1,2,10,0,NA,3,NA
"exp1",6,"F,F;F,L",2,1,20,0,NA,2,40
"exp1",6,"F,F;F,L",2,2,20,1,80,5,40
"exp1",6,"F,F;F,L",3,1,20,0,NA,4,100
"exp1",6,"F,F;F,L",3,2,20,0,NA,1,100
"exp1",6,"L,L;L,L",1,1,10,1,80,7,NA
"exp1",6,"L,L;L,L",1,2,10,1,80,7,NA
"exp1",6,"L,L;L,L",2,1,20,1,80,8,80
"exp1",6,"L,L;L,L",2,2,20,1,80,8,80
"exp1",6,"L,L;L,L",3,1,20,1,50,8,100
"exp1",6,"L,L;L,L",3,2,20,1,50,8,100
"exp1",7,"F,F;F,L",1,1,10,0,NA,4,NA
"exp1",7,"F,F;F,L",1,2,10,0,NA,4,NA
"exp1",7,"F,F;F,L",2,1,20,0,NA,3,20
"exp1",7,"F,F;F,L",2,2,20,1,60,6,40
"exp1",7,"F,F;F,L",3,1,20,0,NA,2,70
"exp1",7,"F,F;F,L",3,2,20,0,NA,7,70
"exp1",7,"F,F;F,F",1,1,10,0,NA,4,NA
"exp1",7,"F,F;F,F",1,2,10,0,NA,4,NA
"exp1",7,"F,F;F,F",2,1,20,0,NA,3,50
"exp1",7,"F,F;F,F",2,2,20,0,NA,3,50
"exp1",7,"F,F;F,F",3,1,20,0,NA,3,30
"exp1",7,"F,F;F,F",3,2,20,0,NA,3,30
"exp1",7,"L,L;L,L",1,1,10,1,80,8,NA
"exp1",7,"L,L;L,L",1,2,10,1,80,8,NA
"exp1",7,"L,L;L,L",2,1,20,1,90,9,100
"exp1",7,"L,L;L,L",2,2,20,1,90,9,100
"exp1",7,"L,L;L,L",3,1,20,1,100,10,100
"exp1",7,"L,L;L,L",3,2,20,1,100,10,100
"exp1",7,"F,L;L,L",1,1,10,0,NA,4,NA
"exp1",7,"F,L;L,L",1,2,10,1,80,8,NA
"exp1",7,"F,L;L,L",2,1,20,1,50,5,20
"exp1",7,"F,L;L,L",2,2,20,1,80,8,70
"exp1",7,"F,L;L,L",3,1,20,1,5,5,60
"exp1",7,"F,L;L,L",3,2,20,1,8,7,60
"exp1",7,"F,F;L,L",1,1,10,0,NA,3,NA
"exp1",7,"F,F;L,L",1,2,10,0,NA,3,NA
"exp1",7,"F,F;L,L",2,1,20,1,50,5,30
"exp1",7,"F,F;L,L",2,2,20,1,50,5,40
"exp1",7,"F,F;L,L",3,1,20,1,60,6,51
"exp1",7,"F,F;L,L",3,2,20,1,50,5,51
"exp1",7,"F,L;F,L",1,1,10,0,NA,4,NA
"exp1",7,"F,L;F,L",1,2,10,1,70,7,NA
"exp1",7,"F,L;F,L",2,1,20,0,NA,3,40
"exp1",7,"F,L;F,L",2,2,20,1,80,8,80
"exp1",7,"F,L;F,L",3,1,20,1,40,4,60
"exp1",7,"F,L;F,L",3,2,20,1,80,8,60
"exp1",8,"F,L;L,L",1,1,10,0,NA,3,NA
"exp1",8,"F,L;L,L",1,2,10,1,70,6,NA
"exp1",8,"F,L;L,L",2,1,20,1,60,5,40
"exp1",8,"F,L;L,L",2,2,20,1,40,6,60
"exp1",8,"F,L;L,L",3,1,20,1,50,5,100
"exp1",8,"F,L;L,L",3,2,20,1,60,6,100
"exp1",8,"F,F;F,F",1,1,10,0,NA,2,NA
"exp1",8,"F,F;F,F",1,2,10,0,NA,3,NA
"exp1",8,"F,F;F,F",2,1,20,0,NA,2,30
"exp1",8,"F,F;F,F",2,2,20,0,NA,2,30
"exp1",8,"F,F;F,F",3,1,20,0,NA,1,50
"exp1",8,"F,F;F,F",3,2,20,0,NA,1,50
"exp1",8,"L,L;L,L",1,1,10,1,50,5,NA
"exp1",8,"L,L;L,L",1,2,10,1,60,5,NA
"exp1",8,"L,L;L,L",2,1,20,1,60,7,60
"exp1",8,"L,L;L,L",2,2,20,1,60,7,60
"exp1",8,"L,L;L,L",3,1,20,1,60,6,100
"exp1",8,"L,L;L,L",3,2,20,1,60,6,100
"exp1",8,"F,F;L,L",1,1,10,0,NA,3,NA
"exp1",8,"F,F;L,L",1,2,10,0,NA,5,NA
"exp1",8,"F,F;L,L",2,1,20,1,70,5,30
"exp1",8,"F,F;L,L",2,2,20,1,70,5,30
"exp1",8,"F,F;L,L",3,1,20,1,60,4,100
