"exp","subject","contest","strong_strength","strong_incentive","weak_strength","weak_incentive","incentive"
"exp2",4,3,7.5,85,6,105,90
"exp2",4,3,7.5,85,7.5,85,85
"exp2",4,4,9.5,65,5,125,70
"exp2",4,4,9.5,65,6.5,95,70
"exp2",4,4,9.5,65,9.5,65,65
"exp2",4,5,6.5,95,5,125,100
"exp2",4,5,6.5,95,5.5,115,100
"exp2",4,5,6.5,95,6.5,95,95
"exp2",5,1,7.5,85,5,125,125
"exp2",5,1,7.5,85,6,105,105
"exp2",5,1,7.5,85,7.5,85,85
"exp2",5,2,8,75,5,125,105
"exp2",5,2,8,75,6.5,95,90
"exp2",5,2,8,75,8,75,75
"exp2",5,3,6.5,95,5,125,110
"exp2",5,3,6.5,95,5.5,115,105
"exp2",5,3,6.5,95,6.5,95,95
"exp2",5,4,6,105,5,125,110
"exp2",5,4,6,105,5.5,115,105
"exp2",5,4,6,105,6,105,105
"exp2",5,5,9.5,65,5,125,80
"exp2",5,5,9.5,65,6.5,95,75
"exp2",5,5,9.5,65,9.5,65,65
"exp2",6,1,6.5,95,5,125,125
"exp2",6,1,6.5,95,5.5,115,115
"exp2",6,1,6.5,95,6.5,95,95
"exp2",6,2,7.5,85,5,125,125
"exp2",6,2,7.5,85,6,105,105
"exp2",6,2,7.5,85,7.5,85,85
"exp2",6,3,9.5,65,5,125,125
"exp2",6,3,9.5,65,6.5,95,95
"exp2",6,3,9.5,65,9.5,65,65
"exp2",6,4,8,75,5,125,100
"exp2",6,4,8,75,6.5,95,80
"exp2",6,4,8,75,8,75,70
"exp2",6,5,6,105,5,125,100
"exp2",6,5,6,105,5.5,115,95
"exp2",6,5,6,105,6,105,90
"exp2",7,1,8,75,5,125,50
"exp2",7,1,8,75,6.5,95,40
"exp2",7,1,8,75,8,75,30
"exp2",7,2,6.5,95,5,125,50
"exp2",7,2,6.5,95,5.5,115,50
"exp2",7,2,6.5,95,6.5,95,45
"exp2",7,3,7.5,85,5,125,65
"exp2",7,3,7.5,85,6,105,60
"exp2",7,3,7.5,85,7.5,85,50
"exp2",7,4,9.5,65,5,125,60
"exp2",7,4,9.5,65,6.5,95,50
"exp2",7,4,9.5,65,9.5,65,40
"exp2",7,5,6,105,5,125,75
"exp2",7,5,6,105,5.5,115,70
"exp2",7,5,6,105,6,105,70
"exp2",8,1,9.5,65,5,125,1
"exp2",8,1,9.5,65,6.5,95,1
"exp2",8,1,9.5,65,9.5,65,1
"exp2",8,2,7.5,85,5,125,1
"exp2",8,2,7.5,85,6,105,1
"exp2",8,2,7.5,85,7.5,85,1
"exp2",8,3,8,75,5,125,1
"exp2",8,3,8,75,6.5,95,1
"exp2",8,3,8,75,8,75,1
"exp2",8,4,6,105,5,125,0
"exp2",8,4,6,105,5.5,115,0
"exp2",8,4,6,105,6,105,0
"exp2",8,5,6.5,95,5,125,1
"exp2",8,5,6.5,95,5.5,115,1
"exp2",8,5,6.5,95,6.5,95,1
"exp2",9,1,6.5,95,5,125,95
"exp2",9,1,6.5,95,5.5,115,105
"exp2",9,1,6.5,95,6.5,95,95
"exp2",9,2,8,75,5,125,70
"exp2",9,2,8,75,6.5,95,70
"exp2",9,2,8,75,8,75,40
"exp2",9,3,9.5,65,5,125,95
"exp2",9,3,9.5,65,6.5,95,81
"exp2",9,3,9.5,65,9.5,65,33
"exp2",9,4,6,105,5,125,70
"exp2",9,4,6,105,5.5,115,55
"exp2",9,4,6,105,6,105,50
"exp2",9,5,7.5,85,5,125,55
"exp2",9,5,7.5,85,6,105,60
"exp2",9,5,7.5,85,7.5,85,44
"exp2",10,1,8,75,5,125,50
"exp2",10,1,8,75,6.5,95,50
"exp2",10,1,8,75,8,75,50
"exp2",10,2,9.5,65,5,125,50
"exp2",10,2,9.5,65,6.5,95,50
"exp2",10,2,9.5,65,9.5,65,40
"exp2",10,3,7.5,85,5,125,50
"exp2",10,3,7.5,85,6,105,50
"exp2",10,3,7.5,85,7.5,85,50
"exp2",10,4,6.5,95,5,125,60
"exp2",10,4,6.5,95,5.5,115,60
"exp2",10,4,6.5,95,6.5,95,50
"exp2",10,5,6,105,5,125,60
"exp2",10,5,6,105,5.5,115,60
"exp2",10,5,6,105,6,105,55
"exp2",11,1,8,75,5,125,80
"exp2",11,1,8,75,6.5,95,65
"exp2",11,1,8,75,8,75,70
"exp2",11,2,6,105,5,125,90
"exp2",11,2,6,105,5.5,115,100
"exp2",11,2,6,105,6,105,96
"exp2",11,3,9.5,65,5,125,90
"exp2",11,3,9.5,65,6.5,95,82
"exp2",11,3,9.5,65,9.5,65,60
"exp2",11,4,7.5,85,5,125,110
"exp2",11,4,7.5,85,6,105,83
"exp2",11,4,7.5,85,7.5,85,80
"exp2",11,5,6.5,95,5,125,110
"exp2",11,5,6.5,95,5.5,115,110
"exp2",11,5,6.5,95,6.5,95,85
"exp2",12,1,6.5,95,5,125,125
"exp2",12,1,6.5,95,5.5,115,115
"exp2",12,1,6.5,95,6.5,95,95
"exp2",12,2,7.5,85,5,125,100
"exp2",12,2,7.5,85,6,105,105
"exp2",12,2,7.5,85,7.5,85,85
"exp2",12,3,9.5,65,5,125,70
"exp2",12,3,9.5,65,6.5,95,70
"exp2",12,3,9.5,65,9.5,65,65
"exp2",12,4,8,75,5,125,90
"exp2",12,4,8,75,6.5,95,80
"exp2",12,4,8,75,8,75,75
"exp2",12,5,6,105,5,125,115
"exp2",12,5,6,105,5.5,115,115
"exp2",12,5,6,105,6,105,105
"exp2",13,1,6.5,95,5,125,125
"exp2",13,1,6.5,95,5.5,115,115
"exp2",13,1,6.5,95,6.5,95,100
"exp2",13,2,7.5,85,5,125,100
"exp2",13,2,7.5,85,6,105,100
"exp2",13,2,7.5,85,7.5,85,85
"exp2",13,3,9.5,65,5,125,90
"exp2",13,3,9.5,65,6.5,95,80
"exp2",13,3,9.5,65,9.5,65,45
"exp2",13,4,8,75,5,125,80
"exp2",13,4,8,75,6.5,95,65
"exp2",13,4,8,75,8,75,45
"exp2",13,5,6,105,5,125,85
"exp2",13,5,6,105,5.5,115,80
"exp2",13,5,6,105,6,105,80
"exp2",14,1,6,105,5,125,70
"exp2",14,1,6,105,5.5,115,75
"exp2",14,1,6,105,6,105,60
"exp2",14,2,8,75,5,125,50
"exp2",14,2,8,75,6.5,95,50
"exp2",14,2,8,75,8,75,40
"exp2",14,3,6.5,95,5,125,70
"exp2",14,3,6.5,95,5.5,115,60
"exp2",14,3,6.5,95,6.5,95,50
"exp2",14,4,7.5,85,5,125,75
"exp2",14,4,7.5,85,6,105,60
"exp2",14,4,7.5,85,7.5,85,45
"exp2",14,5,9.5,65,5,125,50
"exp2",14,5,9.5,65,6.5,95,40
"exp2",14,5,9.5,65,9.5,65,30
"exp2",15,1,6.5,95,5,125,95
"exp2",15,1,6.5,95,5.5,115,95
"exp2",15,1,6.5,95,6.5,95,95
"exp2",15,2,7.5,85,5,125,85
"exp2",15,2,7.5,85,6,105,85
"exp2",15,2,7.5,85,7.5,85,85
"exp2",15,3,9.5,65,5,125,65
"exp2",15,3,9.5,65,6.5,95,65
"exp2",15,3,9.5,65,9.5,65,65
"exp2",15,4,8,75,5,125,75
"exp2",15,4,8,75,6.5,95,75
"exp2",15,4,8,75,8,75,75
"exp2",15,5,6,105,5,125,105
"exp2",15,5,6,105,5.5,115,105
"exp2",15,5,6,105,6,105,105
"exp2",16,1,7.5,85,5,125,100
"exp2",16,1,7.5,85,6,105,95
"exp2",16,1,7.5,85,7.5,85,85
"exp2",16,2,6,105,5,125,110
"exp2",16,2,6,105,5.5,115,110
"exp2",16,2,6,105,6,105,105
"exp2",16,3,9.5,65,5,125,90
"exp2",16,3,9.5,65,6.5,95,80
"exp2",16,3,9.5,65,9.5,65,65
"exp2",16,4,6.5,95,5,125,105
"exp2",16,4,6.5,95,5.5,115,100
"exp2",16,4,6.5,95,6.5,95,95
"exp2",16,5,8,75,5,125,85
"exp2",16,5,8,75,6.5,95,80
"exp2",16,5,8,75,8,75,75
"exp2",17,1,8,75,5,125,85
"exp2",17,1,8,75,6.5,95,85
"exp2",17,1,8,75,8,75,60
"exp2",17,2,9.5,65,5,125,50
"exp2",17,2,9.5,65,6.5,95,75
"exp2",17,2,9.5,65,9.5,65,50
"exp2",17,3,6.5,95,5,125,65
"exp2",17,3,6.5,95,5.5,115,75
"exp2",17,3,6.5,95,6.5,95,65
"exp2",17,4,7.5,85,5,125,50
"exp2",17,4,7.5,85,6,105,50
"exp2",17,4,7.5,85,7.5,85,50
"exp2",17,5,6,105,5,125,75
"exp2",17,5,6,105,5.5,115,75
"exp2",17,5,6,105,6,105,75
"exp2",18,1,9.5,65,5,125,65
"exp2",18,1,9.5,65,6.5,95,95
"exp2",18,1,9.5,65,9.5,65,65
"exp2",18,2,6.5,95,5,125,95
"exp2",18,2,6.5,95,5.5,115,100
"exp2",18,2,6.5,95,6.5,95,95
"exp2",18,3,7.5,85,5,125,80
"exp2",18,3,7.5,85,6,105,85
"exp2",18,3,7.5,85,7.5,85,85
"exp2",18,4,6,105,5,125,70
"exp2",18,4,6,105,5.5,115,60
"exp2",18,4,6,105,6,105,80
"exp2",18,5,8,75,5,125,50
"exp2",18,5,8,75,6.5,95,60
"exp2",18,5,8,75,8,75,45
"exp2",19,1,7.5,85,5,125,60
"exp2",19,1,7.5,85,6,105,55
"exp2",19,1,7.5,85,7.5,85,50
"exp2",19,2,9.5,65,5,125,85
"exp2",19,2,9.5,65,6.5,95,75
"exp2",19,2,9.5,65,9.5,65,50
"exp2",19,3,8,75,5,125,80
"exp2",19,3,8,75,6.5,95,70
"exp2",19,3,8,75,8,75,55
"exp2",19,4,6,105,5,125,90
"exp2",19,4,6,105,5.5,115,85
"exp2",19,4,6,105,6,105,80
"exp2",19,5,6.5,95,5,125,85
"exp2",19,5,6.5,95,5.5,115,80
"exp2",19,5,6.5,95,6.5,95,70
"exp2",20,1,6.5,95,5,125,110
"exp2",20,1,6.5,95,5.5,115,110
"exp2",20,1,6.5,95,6.5,95,95
"exp2",20,2,6,105,5,125,100
"exp2",20,2,6,105,5.5,115,100
"exp2",20,2,6,105,6,105,100
"exp2",20,3,7.5,85,5,125,95
"exp2",20,3,7.5,85,6,105,95
"exp2",20,3,7.5,85,7.5,85,95
"exp2",20,4,8,75,5,125,90
"exp2",20,4,8,75,6.5,95,80
"exp2",20,4,8,75,8,75,70
"exp2",20,5,9.5,65,5,125,80
"exp2",20,5,9.5,65,6.5,95,70
"exp2",20,5,9.5,65,9.5,65,65
"exp2",21,1,9.5,65,5,125,90
"exp2",21,1,9.5,65,6.5,95,80
"exp2",21,1,9.5,65,9.5,65,65
"exp2",21,2,7.5,85,5,125,110
"exp2",21,2,7.5,85,6,105,95
"exp2",21,2,7.5,85,7.5,85,85
"exp2",21,3,8,75,5,125,110
"exp2",21,3,8,75,6.5,95,85
"exp2",21,3,8,75,8,75,75
"exp2",21,4,6,105,5,125,115
"exp2",21,4,6,105,5.5,115,110
"exp2",21,4,6,105,6,105,105
"exp2",21,5,6.5,95,5,125,115
"exp2",21,5,6.5,95,5.5,115,105
"exp2",21,5,6.5,95,6.5,95,95
"exp2",22,1,6,105,5,125,125
"exp2",22,1,6,105,5.5,115,115
"exp2",22,1,6,105,6,105,105
"exp2",22,2,7.5,85,5,125,95
"exp2",22,2,7.5,85,6,105,95
"exp2",22,2,7.5,85,7.5,85,85
"exp2",22,3,9.5,65,5,125,80
"exp2",22,3,9.5,65,6.5,95,75
"exp2",22,3,9.5,65,9.5,65,90
"exp2",22,4,8,75,5,125,80
"exp2",22,4,8,75,6.5,95,75
"exp2",22,4,8,75,8,75,50
"exp2",22,5,6.5,95,5,125,75
"exp2",22,5,6.5,95,5.5,115,80
"exp2",22,5,6.5,95,6.5,95,60
"exp2",23,1,6.5,95,5,125,60
"exp2",23,1,6.5,95,5.5,115,55
"exp2",23,1,6.5,95,6.5,95,50
"exp2",23,2,9.5,65,5,125,50
"exp2",23,2,9.5,65,6.5,95,45
"exp2",23,2,9.5,65,9.5,65,40
"exp2",23,3,7.5,85,5,125,90
"exp2",23,3,7.5,85,6,105,85
"exp2",23,3,7.5,85,7.5,85,80
"exp2",23,4,8,75,5,125,85
"exp2",23,4,8,75,6.5,95,80
"exp2",23,4,8,75,8,75,75
"exp2",23,5,6,105,5,125,100
"exp2",23,5,6,105,5.5,115,95
"exp2",23,5,6,105,6,105,90
"exp2",24,1,8,75,5,125,100
"exp2",24,1,8,75,6.5,95,90
"exp2",24,1,8,75,8,75,75
"exp2",24,2,6.5,95,5,125,90
"exp2",24,2,6.5,95,5.5,115,80
"exp2",24,2,6.5,95,6.5,95,70
"exp2",24,3,9.5,65,5,125,70
"exp2",24,3,9.5,65,6.5,95,60
"exp2",24,3,9.5,65,9.5,65,40
"exp2",24,4,7.5,85,5,125,80
"exp2",24,4,7.5,85,6,105,60
"exp2",24,4,7.5,85,7.5,85,35
"exp2",24,5,6,105,5,125,80
"exp2",24,5,6,105,5.5,115,80
"exp2",24,5,6,105,6,105,80
"exp2",25,1,6.5,95,5,125,95
"exp2",25,1,6.5,95,5.5,115,105
"exp2",25,1,6.5,95,6.5,95,95
"exp2",25,2,6,105,5,125,75
"exp2",25,2,6,105,5.5,115,85
"exp2",25,2,6,105,6,105,95
"exp2",25,3,9.5,65,5,125,75
"exp2",25,3,9.5,65,6.5,95,65
"exp2",25,3,9.5,65,9.5,65,95
"exp2",25,4,8,75,5,125,87
"exp2",25,4,8,75,6.5,95,98
"exp2",25,4,8,75,8,75,112
"exp2",25,5,7.5,85,5,125,120
"exp2",25,5,7.5,85,6,105,105
"exp2",25,5,7.5,85,7.5,85,115
"exp2",26,1,6,105,5,125,125
"exp2",26,1,6,105,5.5,115,115
"exp2",26,1,6,105,6,105,110
"exp2",26,2,8,75,5,125,125
"exp2",26,2,8,75,6.5,95,95
"exp2",26,2,8,75,8,75,80
"exp2",26,3,7.5,85,5,125,125
"exp2",26,3,7.5,85,6,105,110
"exp2",26,3,7.5,85,7.5,85,90
"exp2",26,4,6.5,95,5,125,115
"exp2",26,4,6.5,95,5.5,115,115
"exp2",26,4,6.5,95,6.5,95,100
"exp2",26,5,9.5,65,5,125,100
"exp2",26,5,9.5,65,6.5,95,95
"exp2",26,5,9.5,65,9.5,65,65
"exp2",27,1,6.5,95,5,125,95
"exp2",27,1,6.5,95,5.5,115,90
"exp2",27,1,6.5,95,6.5,95,80
"exp2",27,2,8,75,5,125,70
"exp2",27,2,8,75,6.5,95,65
"exp2",27,2,8,75,8,75,60
"exp2",27,3,9.5,65,5,125,50
"exp2",27,3,9.5,65,6.5,95,40
"exp2",27,3,9.5,65,9.5,65,30
"exp2",27,4,6,105,5,125,85
"exp2",27,4,6,105,5.5,115,85
"exp2",27,4,6,105,6,105,80
"exp2",27,5,7.5,85,5,125,80
"exp2",27,5,7.5,85,6,105,80
"exp2",27,5,7.5,85,7.5,85,65
"exp2",28,1,7.5,85,5,125,70
"exp2",28,1,7.5,85,6,105,60
"exp2",28,1,7.5,85,7.5,85,50
"exp2",28,2,6,105,5,125,70
"exp2",28,2,6,105,5.5,115,65
"exp2",28,2,6,105,6,105,60
"exp2",28,3,8,75,5,125,70
"exp2",28,3,8,75,6.5,95,55
"exp2",28,3,8,75,8,75,45
"exp2",28,4,9.5,65,5,125,70
"exp2",28,4,9.5,65,6.5,95,55
"exp2",28,4,9.5,65,9.5,65,35
"exp2",28,5,6.5,95,5,125,70
"exp2",28,5,6.5,95,5.5,115,65
"exp2",28,5,6.5,95,6.5,95,55
"exp2",29,1,7.5,85,5,125,80
"exp2",29,1,7.5,85,6,105,75
"exp2",29,1,7.5,85,7.5,85,70
"exp2",29,2,8,75,5,125,65
"exp2",29,2,8,75,6.5,95,60
"exp2",29,2,8,75,8,75,55
"exp2",29,3,9.5,65,5,125,45
"exp2",29,3,9.5,65,6.5,95,35
"exp2",29,3,9.5,65,9.5,65,25
"exp2",29,4,6,105,5,125,95
"exp2",29,4,6,105,5.5,115,90
"exp2",29,4,6,105,6,105,90
"exp2",29,5,6.5,95,5,125,90
"exp2",29,5,6.5,95,5.5,115,85
"exp2",29,5,6.5,95,6.5,95,80
"exp2",30,1,6,105,5,125,125
"exp2",30,1,6,105,5.5,115,115
"exp2",30,1,6,105,6,105,105
"exp2",30,2,7.5,85,5,125,125
"exp2",30,2,7.5,85,6,105,105
"exp2",30,2,7.5,85,7.5,85,85
"exp2",30,3,9.5,65,5,125,125
"exp2",30,3,9.5,65,6.5,95,95
"exp2",30,3,9.5,65,9.5,65,65
"exp2",30,4,6.5,95,5,125,125
"exp2",30,4,6.5,95,5.5,115,115
"exp2",30,4,6.5,95,6.5,95,95
"exp2",30,5,8,75,5,125,125
"exp2",30,5,8,75,6.5,95,95
"exp2",30,5,8,75,8,75,75
"exp2",31,1,6,105,5,125,110
"exp2",31,1,6,105,5.5,115,107
"exp2",31,1,6,105,6,105,100
"exp2",31,2,8,75,5,125,100
"exp2",31,2,8,75,6.5,95,97
"exp2",31,2,8,75,8,75,79
"exp2",31,3,9.5,65,5,125,90
"exp2",31,3,9.5,65,6.5,95,90
"exp2",31,3,9.5,65,9.5,65,67
"exp2",31,4,7.5,85,5,125,88
"exp2",31,4,7.5,85,6,105,86
"exp2",31,4,7.5,85,7.5,85,80
"exp2",31,5,6.5,95,5,125,90
"exp2",31,5,6.5,95,5.5,115,85
"exp2",31,5,6.5,95,6.5,95,80
"exp2",32,1,7.5,85,5,125,60
"exp2",32,1,7.5,85,6,105,55
"exp2",32,1,7.5,85,7.5,85,50
"exp2",32,2,9.5,65,5,125,55
"exp2",32,2,9.5,65,6.5,95,45
"exp2",32,2,9.5,65,9.5,65,40
"exp2",32,3,6.5,95,5,125,60
"exp2",32,3,6.5,95,5.5,115,50
"exp2",32,3,6.5,95,6.5,95,30
"exp2",32,4,6,105,5,125,70
"exp2",32,4,6,105,5.5,115,65
"exp2",32,4,6,105,6,105,50
"exp2",32,5,8,75,5,125,60
"exp2",32,5,8,75,6.5,95,50
"exp2",32,5,8,75,8,75,45
"exp2",33,1,6.5,95,5,125,115
"exp2",33,1,6.5,95,5.5,115,110
"exp2",33,1,6.5,95,6.5,95,95
"exp2",33,2,8,75,5,125,105
"exp2",33,2,8,75,6.5,95,90
"exp2",33,2,8,75,8,75,75
"exp2",33,3,7.5,85,5,125,110
"exp2",33,3,7.5,85,6,105,100
"exp2",33,3,7.5,85,7.5,85,85
"exp2",33,4,9.5,65,5,125,100
"exp2",33,4,9.5,65,6.5,95,85
"exp2",33,4,9.5,65,9.5,65,65
"exp2",33,5,6,105,5,125,120
"exp2",33,5,6,105,5.5,115,115
"exp2",33,5,6,105,6,105,105
"exp2",34,1,7.5,85,5,125,85
"exp2",34,1,7.5,85,6,105,85
"exp2",34,1,7.5,85,7.5,85,85
"exp2",34,2,8,75,5,125,75
"exp2",34,2,8,75,6.5,95,75
"exp2",34,2,8,75,8,75,75
"exp2",34,3,6,105,5,125,105
"exp2",34,3,6,105,5.5,115,105
"exp2",34,3,6,105,6,105,105
"exp2",34,4,9.5,65,5,125,65
"exp2",34,4,9.5,65,6.5,95,65
"exp2",34,4,9.5,65,9.5,65,65
"exp2",34,5,6.5,95,5,125,95
"exp2",34,5,6.5,95,5.5,115,95
"exp2",34,5,6.5,95,6.5,95,95
"exp2",35,1,8,75,5,125,125
"exp2",35,1,8,75,6.5,95,170
"exp2",35,1,8,75,8,75,40
"exp2",35,2,9.5,65,5,125,70
"exp2",35,2,9.5,65,6.5,95,85
"exp2",35,2,9.5,65,9.5,65,40
"exp2",35,3,6,105,5,125,60
"exp2",35,3,6,105,5.5,115,55
"exp2",35,3,6,105,6,105,56
"exp2",35,4,7.5,85,5,125,63
"exp2",35,4,7.5,85,6,105,52
"exp2",35,4,7.5,85,7.5,85,43
"exp2",35,5,6.5,95,5,125,40
"exp2",35,5,6.5,95,5.5,115,50
"exp2",35,5,6.5,95,6.5,95,36
"exp2",36,1,7.5,85,5,125,145
"exp2",36,1,7.5,85,6,105,120
"exp2",36,1,7.5,85,7.5,85,100
"exp2",36,2,6.5,95,5,125,135
"exp2",36,2,6.5,95,5.5,115,120
"exp2",36,2,6.5,95,6.5,95,100
"exp2",36,3,8,75,5,125,150
"exp2",36,3,8,75,6.5,95,100
"exp2",36,3,8,75,8,75,80
"exp2",36,4,6,105,5,125,130
"exp2",36,4,6,105,5.5,115,120
"exp2",36,4,6,105,6,105,110
"exp2",36,5,9.5,65,5,125,130
"exp2",36,5,9.5,65,6.5,95,95
"exp2",36,5,9.5,65,9.5,65,65
"exp2",37,1,6,105,5,125,110
"exp2",37,1,6,105,5.5,115,105
"exp2",37,1,6,105,6,105,105
"exp2",37,2,7.5,85,5,125,100
"exp2",37,2,7.5,85,6,105,90
"exp2",37,2,7.5,85,7.5,85,85
"exp2",37,3,6.5,95,5,125,110
"exp2",37,3,6.5,95,5.5,115,100
"exp2",37,3,6.5,95,6.5,95,95
"exp2",37,4,9.5,65,5,125,85
"exp2",37,4,9.5,65,6.5,95,75
"exp2",37,4,9.5,65,9.5,65,65
"exp2",37,5,8,75,5,125,105
"exp2",37,5,8,75,6.5,95,85
"exp2",37,5,8,75,8,75,75
"exp2",38,1,9.5,65,5,125,90
"exp2",38,1,9.5,65,6.5,95,80
"exp2",38,1,9.5,65,9.5,65,70
"exp2",38,2,8,75,5,125,110
"exp2",38,2,8,75,6.5,95,90
"exp2",38,2,8,75,8,75,80
"exp2",38,3,7.5,85,5,125,110
"exp2",38,3,7.5,85,6,105,95
"exp2",38,3,7.5,85,7.5,85,90
"exp2",38,4,6,105,5,125,115
"exp2",38,4,6,105,5.5,115,110
"exp2",38,4,6,105,6,105,110
"exp2",38,5,6.5,95,5,125,110
"exp2",38,5,6.5,95,5.5,115,105
"exp2",38,5,6.5,95,6.5,95,100
"exp2",39,1,8,75,5,125,100
"exp2",39,1,8,75,6.5,95,90
"exp2",39,1,8,75,8,75,75
"exp2",39,2,6.5,95,5,125,95
"exp2",39,2,6.5,95,5.5,115,90
"exp2",39,2,6.5,95,6.5,95,75
"exp2",39,3,6,105,5,125,75
"exp2",39,3,6,105,5.5,115,70
"exp2",39,3,6,105,6,105,70
"exp2",39,4,7.5,85,5,125,70
"exp2",39,4,7.5,85,6,105,60
"exp2",39,4,7.5,85,7.5,85,50
"exp2",39,5,9.5,65,5,125,70
"exp2",39,5,9.5,65,6.5,95,50
"exp2",39,5,9.5,65,9.5,65,40
"exp2",40,1,9.5,65,5,125,65
"exp2",40,1,9.5,65,6.5,95,65
"exp2",40,1,9.5,65,9.5,65,65
"exp2",40,2,6,105,5,125,105
"exp2",40,2,6,105,5.5,115,105
"exp2",40,2,6,105,6,105,105
"exp2",40,3,8,75,5,125,75
"exp2",40,3,8,75,6.5,95,75
"exp2",40,3,8,75,8,75,75
"exp2",40,4,6.5,95,5,125,95
"exp2",40,4,6.5,95,5.5,115,95
"exp2",40,4,6.5,95,6.5,95,95
"exp2",40,5,7.5,85,5,125,85
"exp2",40,5,7.5,85,6,105,85
"exp2",40,5,7.5,85,7.5,85,70
"exp2",41,1,8,75,5,125,100
"exp2",41,1,8,75,6.5,95,85
"exp2",41,1,8,75,8,75,75
"exp2",41,2,9.5,65,5,125,115
"exp2",41,2,9.5,65,6.5,95,80
"exp2",41,2,9.5,65,9.5,65,65
"exp2",41,3,7.5,85,5,125,105
"exp2",41,3,7.5,85,6,105,95
"exp2",41,3,7.5,85,7.5,85,85
"exp2",41,4,6.5,95,5,125,110
"exp2",41,4,6.5,95,5.5,115,103
"exp2",41,4,6.5,95,6.5,95,85
"exp2",41,5,6,105,5,125,113
"exp2",41,5,6,105,5.5,115,105
"exp2",41,5,6,105,6,105,95
"exp2",42,1,6.5,95,5,125,65
"exp2",42,1,6.5,95,5.5,115,60
"exp2",42,1,6.5,95,6.5,95,50
"exp2",42,2,6,105,5,125,65
"exp2",42,2,6,105,5.5,115,60
"exp2",42,2,6,105,6,105,55
"exp2",42,3,7.5,85,5,125,65
"exp2",42,3,7.5,85,6,105,55
"exp2",42,3,7.5,85,7.5,85,45
"exp2",42,4,8,75,5,125,64
"exp2",42,4,8,75,6.5,95,48
"exp2",42,4,8,75,8,75,38
"exp2",42,5,9.5,65,5,125,63
"exp2",42,5,9.5,65,6.5,95,48
"exp2",42,5,9.5,65,9.5,65,33
"exp2",43,1,9.5,65,5,125,125
"exp2",43,1,9.5,65,6.5,95,85
"exp2",43,1,9.5,65,9.5,65,70
"exp2",43,2,7.5,85,5,125,110
"exp2",43,2,7.5,85,6,105,95
"exp2",43,2,7.5,85,7.5,85,86
"exp2",43,3,6,105,5,125,105
"exp2",43,3,6,105,5.5,115,105
"exp2",43,3,6,105,6,105,90
"exp2",43,4,6.5,95,5,125,95
"exp2",43,4,6.5,95,5.5,115,80
"exp2",43,4,6.5,95,6.5,95,60
"exp2",43,5,8,75,5,125,60
"exp2",43,5,8,75,6.5,95,50
"exp2",43,5,8,75,8,75,40
"exp2",44,1,6.5,95,5,125,125
"exp2",44,1,6.5,95,5.5,115,115
"exp2",44,1,6.5,95,6.5,95,100
"exp2",44,2,7.5,85,5,125,125
"exp2",44,2,7.5,85,6,105,110
"exp2",44,2,7.5,85,7.5,85,90
"exp2",44,3,9.5,65,5,125,125
"exp2",44,3,9.5,65,6.5,95,100
"exp2",44,3,9.5,65,9.5,65,70
"exp2",44,4,6,105,5,125,125
"exp2",44,4,6,105,5.5,115,120
"exp2",44,4,6,105,6,105,110
"exp2",44,5,8,75,5,125,125
