"subject","contest","agent","scenario","exp","effort","strength","outcome","prob","round","reward"
5,4,2,"F,F;F,F","index1",NA,1,0,0,3,20
5,5,1,"L,L;L,L","index1",50,8,1,NA,1,10
5,5,2,"L,L;L,L","index1",50,8,1,NA,1,10
5,5,1,"L,L;L,L","index1",50,8,1,75,2,20
5,5,2,"L,L;L,L","index1",50,8,1,75,2,20
5,5,1,"L,L;L,L","index1",50,8,1,100,3,20
5,5,2,"L,L;L,L","index1",50,8,1,100,3,20
5,6,1,"F,F;L,L","index1",NA,1,0,NA,1,10
5,6,2,"F,F;L,L","index1",NA,1,0,NA,1,10
5,6,1,"F,F;L,L","index1",100,5,1,50,2,20
5,6,2,"F,F;L,L","index1",100,5,1,50,2,20
5,6,1,"F,F;L,L","index1",100,5,1,100,3,20
5,6,2,"F,F;L,L","index1",100,5,1,100,3,20
6,1,1,"F,L;F,L","index1",NA,2,0,NA,1,10
6,1,2,"F,L;F,L","index1",5,9,1,NA,1,10
6,1,1,"F,L;F,L","index1",NA,4,0,50,2,20
6,1,2,"F,L;F,L","index1",50,10,1,90,2,20
6,1,1,"F,L;F,L","index1",60,3,1,100,3,20
6,1,2,"F,L;F,L","index1",100,10,1,100,3,20
6,2,1,"F,F;L,L","index1",NA,5,0,NA,1,10
6,2,2,"F,F;L,L","index1",NA,5,0,NA,1,10
6,2,1,"F,F;L,L","index1",70,8,1,50,2,20
6,2,2,"F,F;L,L","index1",80,8,1,50,2,20
6,2,1,"F,F;L,L","index1",50,6,1,100,3,20
6,2,2,"F,F;L,L","index1",50,6,1,100,3,20
6,3,1,"F,L;L,L","index1",NA,3,0,NA,1,10
6,3,2,"F,L;L,L","index1",50,8,1,NA,1,10
6,3,1,"F,L;L,L","index1",100,5,1,40,2,20
6,3,2,"F,L;L,L","index1",50,8,1,80,2,20
6,3,1,"F,L;L,L","index1",70,5,1,100,3,20
6,3,2,"F,L;L,L","index1",50,8,1,100,3,20
6,4,1,"F,F;F,F","index1",NA,3,0,NA,1,10
6,4,2,"F,F;F,F","index1",NA,3,0,NA,1,10
6,4,1,"F,F;F,F","index1",NA,2,0,50,2,20
6,4,2,"F,F;F,F","index1",NA,2,0,50,2,20
6,4,1,"F,F;F,F","index1",NA,1,0,60,3,20
6,4,2,"F,F;F,F","index1",NA,1,0,60,3,20
6,5,1,"F,F;F,L","index1",NA,3,0,NA,1,10
6,5,2,"F,F;F,L","index1",NA,3,0,NA,1,10
6,5,1,"F,F;F,L","index1",NA,2,0,40,2,20
6,5,2,"F,F;F,L","index1",80,5,1,40,2,20
6,5,1,"F,F;F,L","index1",NA,4,0,100,3,20
6,5,2,"F,F;F,L","index1",NA,1,0,100,3,20
6,6,1,"L,L;L,L","index1",80,7,1,NA,1,10
6,6,2,"L,L;L,L","index1",80,7,1,NA,1,10
6,6,1,"L,L;L,L","index1",80,8,1,80,2,20
6,6,2,"L,L;L,L","index1",80,8,1,80,2,20
6,6,1,"L,L;L,L","index1",50,8,1,100,3,20
6,6,2,"L,L;L,L","index1",50,8,1,100,3,20
7,1,1,"F,F;F,L","index1",NA,4,0,NA,1,10
7,1,2,"F,F;F,L","index1",NA,4,0,NA,1,10
7,1,1,"F,F;F,L","index1",NA,3,0,20,2,20
7,1,2,"F,F;F,L","index1",60,6,1,40,2,20
7,1,1,"F,F;F,L","index1",NA,2,0,70,3,20
7,1,2,"F,F;F,L","index1",NA,7,0,70,3,20
7,2,1,"F,F;F,F","index1",NA,4,0,NA,1,10
7,2,2,"F,F;F,F","index1",NA,4,0,NA,1,10
7,2,1,"F,F;F,F","index1",NA,3,0,50,2,20
7,2,2,"F,F;F,F","index1",NA,3,0,50,2,20
7,2,1,"F,F;F,F","index1",NA,3,0,30,3,20
7,2,2,"F,F;F,F","index1",NA,3,0,30,3,20
7,3,1,"L,L;L,L","index1",80,8,1,NA,1,10
7,3,2,"L,L;L,L","index1",80,8,1,NA,1,10
7,3,1,"L,L;L,L","index1",90,9,1,100,2,20
7,3,2,"L,L;L,L","index1",90,9,1,100,2,20
7,3,1,"L,L;L,L","index1",100,10,1,100,3,20
7,3,2,"L,L;L,L","index1",100,10,1,100,3,20
7,4,1,"F,L;L,L","index1",NA,4,0,NA,1,10
7,4,2,"F,L;L,L","index1",80,8,1,NA,1,10
7,4,1,"F,L;L,L","index1",50,5,1,20,2,20
7,4,2,"F,L;L,L","index1",80,8,1,70,2,20
7,4,1,"F,L;L,L","index1",5,5,1,60,3,20
7,4,2,"F,L;L,L","index1",8,7,1,60,3,20
7,5,1,"F,F;L,L","index1",NA,3,0,NA,1,10
7,5,2,"F,F;L,L","index1",NA,3,0,NA,1,10
7,5,1,"F,F;L,L","index1",50,5,1,30,2,20
7,5,2,"F,F;L,L","index1",50,5,1,40,2,20
7,5,1,"F,F;L,L","index1",60,6,1,51,3,20
7,5,2,"F,F;L,L","index1",50,5,1,51,3,20
7,6,1,"F,L;F,L","index1",NA,4,0,NA,1,10
7,6,2,"F,L;F,L","index1",70,7,1,NA,1,10
7,6,1,"F,L;F,L","index1",NA,3,0,40,2,20
7,6,2,"F,L;F,L","index1",80,8,1,80,2,20
7,6,1,"F,L;F,L","index1",40,4,1,60,3,20
7,6,2,"F,L;F,L","index1",80,8,1,60,3,20
8,1,1,"F,L;L,L","index1",NA,3,0,NA,1,10
8,1,2,"F,L;L,L","index1",70,6,1,NA,1,10
8,1,1,"F,L;L,L","index1",60,5,1,40,2,20
8,1,2,"F,L;L,L","index1",40,6,1,60,2,20
8,1,1,"F,L;L,L","index1",50,5,1,100,3,20
8,1,2,"F,L;L,L","index1",60,6,1,100,3,20
8,2,1,"F,F;F,F","index1",NA,2,0,NA,1,10
8,2,2,"F,F;F,F","index1",NA,3,0,NA,1,10
8,2,1,"F,F;F,F","index1",NA,2,0,30,2,20
8,2,2,"F,F;F,F","index1",NA,2,0,30,2,20
8,2,1,"F,F;F,F","index1",NA,1,0,50,3,20
8,2,2,"F,F;F,F","index1",NA,1,0,50,3,20
8,3,1,"L,L;L,L","index1",50,5,1,NA,1,10
8,3,2,"L,L;L,L","index1",60,5,1,NA,1,10
8,3,1,"L,L;L,L","index1",60,7,1,60,2,20
8,3,2,"L,L;L,L","index1",60,7,1,60,2,20
8,3,1,"L,L;L,L","index1",60,6,1,100,3,20
8,3,2,"L,L;L,L","index1",60,6,1,100,3,20
8,4,1,"F,F;L,L","index1",NA,3,0,NA,1,10
8,4,2,"F,F;L,L","index1",NA,5,0,NA,1,10
8,4,1,"F,F;L,L","index1",70,5,1,30,2,20
8,4,2,"F,F;L,L","index1",70,5,1,30,2,20
8,4,1,"F,F;L,L","index1",60,4,1,100,3,20
8,4,2,"F,F;L,L","index1",60,5,1,100,3,20
8,5,1,"F,F;F,L","index1",NA,4,0,NA,1,10
8,5,2,"F,F;F,L","index1",NA,4,0,NA,1,10
8,5,1,"F,F;F,L","index1",NA,3,0,50,2,20
8,5,2,"F,F;F,L","index1",80,6,1,40,2,20
8,5,1,"F,F;F,L","index1",NA,1,0,70,3,20
8,5,2,"F,F;F,L","index1",NA,5,0,70,3,20
8,6,1,"F,L;F,L","index1",NA,4,0,NA,1,10
8,6,2,"F,L;F,L","index1",60,5,1,NA,1,10
8,6,1,"F,L;F,L","index1",NA,1,0,40,2,20
8,6,2,"F,L;F,L","index1",50,7,1,80,2,20
8,6,1,"F,L;F,L","index1",40,2,1,70,3,20
8,6,2,"F,L;F,L","index1",70,7,1,70,3,20
9,1,1,"F,L;L,L","index1",NA,3,0,NA,1,10
9,1,2,"F,L;L,L","index1",80,7,1,NA,1,10
9,1,1,"F,L;L,L","index1",100,5,1,20,2,20
9,1,2,"F,L;L,L","index1",80,7,1,70,2,20
9,1,1,"F,L;L,L","index1",90,5,1,90,3,20
9,1,2,"F,L;L,L","index1",70,7,1,90,3,20
9,2,1,"L,L;L,L","index1",80,7,1,NA,1,10
9,2,2,"L,L;L,L","index1",80,7,1,NA,1,10
9,2,1,"L,L;L,L","index1",80,7,1,80,2,20
9,2,2,"L,L;L,L","index1",80,7,1,80,2,20
9,2,1,"L,L;L,L","index1",70,7,1,90,3,20
9,2,2,"L,L;L,L","index1",70,7,1,90,3,20
9,3,1,"F,L;F,L","index1",NA,3,0,NA,1,10
9,3,2,"F,L;F,L","index1",80,7,1,NA,1,10
9,3,1,"F,L;F,L","index1",NA,3,0,20,2,20
9,3,2,"F,L;F,L","index1",80,7,1,90,2,20
9,3,1,"F,L;F,L","index1",100,3,1,70,3,20
9,3,2,"F,L;F,L","index1",70,7,1,70,3,20
9,4,1,"F,F;F,F","index1",NA,3,0,NA,1,10
9,4,2,"F,F;F,F","index1",NA,3,0,NA,1,10
9,4,1,"F,F;F,F","index1",NA,3,0,20,2,20
9,4,2,"F,F;F,F","index1",NA,3,0,20,2,20
9,4,1,"F,F;F,F","index1",NA,2,0,35,3,20
9,4,2,"F,F;F,F","index1",NA,2,0,35,3,20
9,5,1,"F,F;F,L","index1",NA,3,0,NA,1,10
9,5,2,"F,F;F,L","index1",NA,3,0,NA,1,10
9,5,1,"F,F;F,L","index1",NA,3,0,25,2,20
9,5,2,"F,F;F,L","index1",100,5,1,25,2,20
9,5,1,"F,F;F,L","index1",NA,3,0,80,3,20
9,5,2,"F,F;F,L","index1",NA,5,0,80,3,20
9,6,1,"F,F;L,L","index1",NA,3,0,NA,1,10
9,6,2,"F,F;L,L","index1",NA,3,0,NA,1,10
9,6,1,"F,F;L,L","index1",100,5,1,25,2,20
9,6,2,"F,F;L,L","index1",100,5,1,25,2,20
9,6,1,"F,F;L,L","index1",100,5,1,40,3,20
9,6,2,"F,F;L,L","index1",100,5,1,40,3,20
10,1,1,"F,F;L,L","index1",NA,4,0,NA,1,10
10,1,2,"F,F;L,L","index1",NA,4,0,NA,1,10
10,1,1,"F,F;L,L","index1",40,7,1,40,2,20
10,1,2,"F,F;L,L","index1",40,7,1,45,2,20
10,1,1,"F,F;L,L","index1",45,4,1,30,3,20
10,1,2,"F,F;L,L","index1",55,6,1,30,3,20
10,2,1,"F,F;F,L","index1",NA,5,0,NA,1,10
10,2,2,"F,F;F,L","index1",NA,6,0,NA,1,10
10,2,1,"F,F;F,L","index1",NA,4,0,40,2,20
10,2,2,"F,F;F,L","index1",60,7,1,60,2,20
10,2,1,"F,F;F,L","index1",NA,4,0,80,3,20
10,2,2,"F,F;F,L","index1",NA,7,0,80,3,20
10,3,1,"F,L;L,L","index1",NA,4,0,NA,1,10
10,3,2,"F,L;L,L","index1",30,8,1,NA,1,10
10,3,1,"F,L;L,L","index1",70,4,1,10,2,20
10,3,2,"F,L;L,L","index1",40,8,1,80,2,20
10,3,1,"F,L;L,L","index1",40,4,1,20,3,20
10,3,2,"F,L;L,L","index1",30,7,1,20,3,20
10,4,1,"F,F;F,F","index1",NA,6,0,NA,1,10
10,4,2,"F,F;F,F","index1",NA,3,0,NA,1,10
10,4,1,"F,F;F,F","index1",NA,3,0,30,2,20
10,4,2,"F,F;F,F","index1",NA,4,0,30,2,20
10,4,1,"F,F;F,F","index1",NA,1,0,90,3,20
10,4,2,"F,F;F,F","index1",NA,1,0,90,3,20
10,5,1,"L,L;L,L","index1",70,8,1,NA,1,10
10,5,2,"L,L;L,L","index1",70,8,1,NA,1,10
10,5,1,"L,L;L,L","index1",70,9,1,80,2,20
10,5,2,"L,L;L,L","index1",70,9,1,80,2,20
10,5,1,"L,L;L,L","index1",40,9,1,50,3,20
10,5,2,"L,L;L,L","index1",40,9,1,50,3,20
10,6,1,"F,L;F,L","index1",NA,6,0,NA,1,10
10,6,2,"F,L;F,L","index1",30,9,1,NA,1,10
10,6,1,"F,L;F,L","index1",NA,3,0,50,2,20
10,6,2,"F,L;F,L","index1",50,8,1,90,2,20
10,6,1,"F,L;F,L","index1",80,4,1,100,3,20
10,6,2,"F,L;F,L","index1",20,9,1,100,3,20
11,1,1,"F,F;L,L","index1",NA,5,0,NA,1,10
11,1,2,"F,F;L,L","index1",NA,5,0,NA,1,10
11,1,1,"F,F;L,L","index1",60,7,1,50,2,20
11,1,2,"F,F;L,L","index1",60,7,1,50,2,20
11,1,1,"F,F;L,L","index1",30,7,1,100,3,20
11,1,2,"F,F;L,L","index1",30,7,1,100,3,20
11,2,1,"F,L;F,L","index1",NA,4,0,NA,1,10
11,2,2,"F,L;F,L","index1",40,7,1,NA,1,10
11,2,1,"F,L;F,L","index1",NA,2,0,50,2,20
11,2,2,"F,L;F,L","index1",70,9,1,80,2,20
11,2,1,"F,L;F,L","index1",30,2,1,90,3,20
11,2,2,"F,L;F,L","index1",70,9,1,90,3,20
11,3,1,"F,F;F,F","index1",NA,2,0,NA,1,10
11,3,2,"F,F;F,F","index1",NA,2,0,NA,1,10
11,3,1,"F,F;F,F","index1",NA,1,0,40,2,20
11,3,2,"F,F;F,F","index1",NA,1,0,40,2,20
11,3,1,"F,F;F,F","index1",NA,1,0,50,3,20
11,3,2,"F,F;F,F","index1",NA,1,0,50,3,20
11,4,1,"F,L;L,L","index1",NA,2,0,NA,1,10
11,4,2,"F,L;L,L","index1",60,7,1,NA,1,10
11,4,1,"F,L;L,L","index1",90,8,1,80,2,20
11,4,2,"F,L;L,L","index1",80,7,1,30,2,20
11,4,1,"F,L;L,L","index1",50,9,1,90,3,20
11,4,2,"F,L;L,L","index1",50,7,1,90,3,20
11,5,1,"L,L;L,L","index1",90,9,1,NA,1,10
11,5,2,"L,L;L,L","index1",90,9,1,NA,1,10
11,5,1,"L,L;L,L","index1",90,9,1,70,2,20
11,5,2,"L,L;L,L","index1",90,9,1,70,2,20
11,5,1,"L,L;L,L","index1",50,9,1,100,3,20
11,5,2,"L,L;L,L","index1",50,9,1,100,3,20
11,6,1,"F,F;F,L","index1",NA,3,0,NA,1,10
11,6,2,"F,F;F,L","index1",NA,3,0,NA,1,10
11,6,1,"F,F;F,L","index1",NA,1,0,45,2,20
11,6,2,"F,F;F,L","index1",90,6,1,45,2,20
11,6,1,"F,F;F,L","index1",NA,1,0,70,3,20
11,6,2,"F,F;F,L","index1",NA,6,0,70,3,20
12,1,1,"F,F;F,L","index1",NA,4,0,NA,1,10
12,1,2,"F,F;F,L","index1",NA,4,0,NA,1,10
12,1,1,"F,F;F,L","index1",NA,4,0,60,2,20
12,1,2,"F,F;F,L","index1",85,7,1,60,2,20
